Time	A	B	
0	1	0	
100	0.907914	0.0920855	
200	0.824309	0.175691	
300	0.748402	0.251598	
400	0.679485	0.320515	
500	0.616914	0.383086	
600	0.560105	0.439895	
700	0.508528	0.491472	
800	0.4617	0.5383	
900	0.419184	0.580816	
1000	0.380583	0.619417	
1100	0.345537	0.654463	
1200	0.313718	0.686282	
1300	0.284829	0.715171	
1400	0.2586	0.7414	
1500	0.234787	0.765213	
1600	0.213166	0.786834	
1700	0.193537	0.806463	
1800	0.175715	0.824285	
1900	0.159534	0.840466	
2000	0.144843	0.855157	
2100	0.131505	0.868495	
2200	0.119396	0.880604	
2300	0.108401	0.891599	
2400	0.0984188	0.901581	
2500	0.0893558	0.910644	
2600	0.0811275	0.918873	
2700	0.0736568	0.926343	
2800	0.0668741	0.933126	
2900	0.0607159	0.939284	
3000	0.0551249	0.944875	
3100	0.0500487	0.949951	
3200	0.0454399	0.95456	
3300	0.0412555	0.958744	
3400	0.0374565	0.962544	
3500	0.0340073	0.965993	
3600	0.0308757	0.969124	
3700	0.0280325	0.971967	
3800	0.0254511	0.974549	
3900	0.0231074	0.976893	
4000	0.0209796	0.97902	
4100	0.0190477	0.980952	
4200	0.0172936	0.982706	
4300	0.0157011	0.984299	
4400	0.0142553	0.985745	
4500	0.0129426	0.987057	
4600	0.0117508	0.988249	
4700	0.0106687	0.989331	
4800	0.00968625	0.990314	
4900	0.00879429	0.991206	
5000	0.00798446	0.992016	
5100	0.00724921	0.992751	
5200	0.00658166	0.993418	
5300	0.00597559	0.994024	
5400	0.00542532	0.994575	
5500	0.00492573	0.995074	
5600	0.00447214	0.995528	
5700	0.00406032	0.99594	
5800	0.00368642	0.996314	
5900	0.00334696	0.996653	
6000	0.00303875	0.996961	
6100	0.00275892	0.997241	
6200	0.00250487	0.997495	
6300	0.0022742	0.997726	
6400	0.00206478	0.997935	
6500	0.00187465	0.998125	
6600	0.00170202	0.998298	
6700	0.00154529	0.998455	
6800	0.00140299	0.998597	
6900	0.00127379	0.998726	
7000	0.0011565	0.998844	
7100	0.00105	0.99895	
7200	0.000953309	0.999047	
7300	0.000865523	0.999134	
7400	0.000785821	0.999214	
7500	0.000713458	0.999287	
7600	0.000647759	0.999352	
7700	0.00058811	0.999412	
7800	0.000533953	0.999466	
7900	0.000484784	0.999515	
8000	0.000440142	0.99956	
8100	0.000399611	0.9996	
8200	0.000362813	0.999637	
8300	0.000329403	0.999671	
8400	0.00029907	0.999701	
8500	0.00027153	0.999728	
8600	0.000246526	0.999753	
8700	0.000223824	0.999776	
8800	0.000203213	0.999797	
8900	0.0001845	0.999815	
9000	0.000167511	0.999832	
9100	0.000152085	0.999848	
9200	0.00013808	0.999862	
9300	0.000125365	0.999875	
9400	0.000113821	0.999886	
9500	0.00010334	0.999897	
9600	9.38235e-05	0.999906	
9700	8.51837e-05	0.999915	
9800	7.73395e-05	0.999923	
9900	7.02177e-05	0.99993	
10000	6.37516e-05	0.999936	
